,,,Portfolio Details of JB2200
,,,Portfolio Name Deepak101010

SECTOR,SCRIP SYMBOL,TOTAL QUANTITY,TRADE PRICE,PURCHASE VALUE,CURRENT MKT PRICE,PCT PRICE CHANGE,CURRENT MKT VALUE,BOOKED PNL,NOTIONAL PNL,NOTIONAL PNL PCT
Metals and Minerals,JSWSTEEL,0,0,0,727.45,.83,0,.9,0,0
Metals and Minerals,KALYANISTE,0,0,0,54,3.15,0,.32,0,0
Miscellaneous,SINTEX,0,0,0,87.45,1.39,0,12.85,0,0
Miscellaneous,VIPIND,0,0,0,101.1,1.25,0,28.64,0,0
Miscellaneous,VOLTAS,0,0,0,113.65,1.25,0,-43.88,0,0
Miscellaneous,ASAHIINDIA,0,0,0,57.7,1.94,0,-14.16,0,0
Paints and Pigments,AKZOINDIA,0,0,0,808,-.99,0,-14.53,0,0
Personal Care,HINDUNILVR,0,0,0,405.3,-1.16,0,27.07,0,0
Petroleum/Petrochemicals,HINDPETRO,0,0,0,300.75,-.94,0,161.03,0,0
Petroleum/Petrochemicals,RELIANCE,0,0,0,741.65,-1.19,0,-9.85,0,0
Petroleum/Petrochemicals,CAIRN,0,0,0,336.9,.9,0,-91.22,0,0
Petroleum/Petrochemicals,TIDEWATER,0,0,0,7598,2.16,0,-2504.69,0,0
Petroleum/Petrochemicals,PETRONET,0,0,0,170.35,1.37,0,20.34,0,0
Petroleum/Petrochemicals,BPCL,0,0,0,694.8,-.78,0,-33.85,0,0
Pharmaceuticals and health care,ORCHIDCHEM,0,0,0,184.5,-.16,0,-4048.69,0,0
Pharmaceuticals and health care,NATCOPHARM,0,0,0,368.4,4.1,0,-39.9,0,0
Pharmaceuticals and health care,UNICHEMLAB,0,0,0,134.95,1.5,0,-10.1,0,0
Pharmaceuticals and health care,MERCK,0,0,0,611,1.38,0,-78973.22,0,0
Pharmaceuticals and health care,CIPLA,0,0,0,306.35,.41,0,-.85,0,0
Pharmaceuticals and health care,CADILAHC,0,0,0,761.4,.38,0,-5.31,0,0
Pharmaceuticals and health care,VENUSREM,0,0,0,167,1.37,0,-8.78,0,0
Pharmaceuticals and health care,BIOCON,0,0,0,241.8,1.17,0,869.89,0,0
Pharmaceuticals and health care,APOLLOHOSP,0,0,0,633,-.91,0,298.48,0,0
Pharmaceuticals and health care,SUNPHARMA,0,0,0,570,.01,0,12.33,0,0
Plastic and Plastic products,ASTRAL,0,0,0,197,1.29,0,-25.54,0,0
Power,TATAPOWER,0,0,0,101.65,.69,0,70.28,0,0
Power,NEYVELILIG,0,0,0,88.5,2.97,0,-21.03,0,0
Power,RELINFRA,0,0,0,603.15,2.71,0,26.32,0,0
Power,POWERGRID,0,0,0,107.9,-.23,0,-22.01,0,0
Real Estate,ANANTRAJ,0,0,0,59.45,1.62,0,-27.53,0,0
Real Estate,SOBHA,0,0,0,330.85,-.69,0,-68.48,0,0
Real Estate,HCC,0,0,0,26.15,1.75,0,15.28,0,0
Real Estate,HDIL,0,0,0,84.9,-.88,0,44.22,0,0
Real Estate,UNITECH,0,0,0,28.8,.17,0,-171.21,0,0
Real Estate,DLF,0,0,0,206.4,2.3,0,29.61,0,0
Service,ADANIENT,0,0,0,311.3,2.12,0,12.31,0,0
Sugar,BAJAJHIND,0,0,0,31.15,.16,0,-39.97,0,0
Telecommunications,TTML,0,0,0,14.7,.34,0,-84.57,0,0
Telecommunications,RCOM,0,0,0,84.85,.95,0,1.53,0,0
Telecommunications,IDEA,0,0,0,99.65,.86,0,53.9,0,0
Telecommunications,BHARTIARTL,0,0,0,338.95,.31,0,-29.84,0,0
Telecommunications,TATACOMM,0,0,0,225,-.4,0,-2.46,0,0
Textiles,ABIRLANUVO,0,0,0,959.55,1.58,0,-22.15,0,0
Textiles,BIRLACOT,0,0,0,.3,0,0,-48.59,0,0
Tyres,PHILIPCARB,0,0,0,109.8,-1.92,0,3.19,0,0
Tyres,MRF,0,0,0,10150,2.19,0,23.78,0,0
